category,demand_signal,stock_signal,demand_score,stock_risk,source_count,sources
Processed/Preserved Vegetable & Fruit,MEDIUM,WATCH,0.35,0.5,1,glomark
Processed / Preserved Meat,MEDIUM,WATCH,0.35,0.5,1,glomark
Processed Cheese,MEDIUM,WATCH,0.35,0.5,1,glomark
Kitchen & Dining,MEDIUM,WATCH,0.35,0.5,1,glomark
Frozen RTE Ready Meals,MEDIUM,WATCH,0.35,0.5,1,glomark
FROZEN COCONUT,MEDIUM,WATCH,0.35,0.5,1,glomark
Frozen Ready To Cook Snacks,MEDIUM,WATCH,0.35,0.5,1,glomark
Malt,MEDIUM,WATCH,0.35,0.5,1,glomark
Illumination & Lighting,MEDIUM,WATCH,0.35,0.5,1,glomark
GLOGREEN Bag - Large,MEDIUM,WATCH,0.35,0.5,1,glomark
GLOGREEN Bag - Small,MEDIUM,WATCH,0.35,0.5,1,glomark
Juices,MEDIUM,WATCH,0.35,0.5,1,glomark
Fish,MEDIUM,WATCH,0.35,0.5,1,glomark
FROZEN CHEESE,MEDIUM,WATCH,0.35,0.5,1,glomark
Cookies,MEDIUM,WATCH,0.35,0.5,1,glomark
Contraceptive Agents,MEDIUM,WATCH,0.35,0.5,1,glomark
Color Cosmetics,MEDIUM,WATCH,0.35,0.5,1,glomark
Condiments,MEDIUM,WATCH,0.35,0.5,1,glomark
Dermatological,MEDIUM,WATCH,0.35,0.5,1,glomark
Cream,MEDIUM,WATCH,0.35,0.5,1,glomark
Essentials,MEDIUM,WATCH,0.35,0.5,1,glomark
Plastic & Storage,MEDIUM,WATCH,0.35,0.5,1,glomark
Party-Ware,MEDIUM,WATCH,0.35,0.5,1,glomark
Oil / Fat,MEDIUM,WATCH,0.35,0.5,1,glomark
Oral Care,MEDIUM,WATCH,0.35,0.5,1,glomark
Neuro Muscular System,MEDIUM,WATCH,0.35,0.5,1,glomark
Non Alcoholic Beer & Wine,MEDIUM,WATCH,0.35,0.5,1,glomark
Milk Foods,MEDIUM,WATCH,0.35,0.5,1,glomark
Spreads,MEDIUM,WATCH,0.35,0.5,1,glomark
Vegetable,MEDIUM,WATCH,0.35,0.5,1,glomark
Sport & Energy Drinks,MEDIUM,WATCH,0.35,0.5,1,glomark
Special Health,MEDIUM,WATCH,0.35,0.5,1,glomark
Sauce,MEDIUM,WATCH,0.35,0.5,1,glomark
Savoury,MEDIUM,WATCH,0.35,0.5,1,glomark
Soups,MEDIUM,WATCH,0.35,0.5,1,glomark
Processed/ Preserved Vegetables,MEDIUM,WATCH,0.35,0.5,1,glomark
Preserved / Processed Fish,MEDIUM,WATCH,0.35,0.5,1,glomark
Preserved / Processed Meat,MEDIUM,WATCH,0.35,0.5,1,glomark
Processed / Preserved Fish,MEDIUM,WATCH,0.35,0.5,1,glomark
Paper Goods,MEDIUM,WATCH,0.35,0.5,1,glomark
Pasteurized Liquid Milk,MEDIUM,WATCH,0.35,0.5,1,glomark
Personal Hygiene,MEDIUM,WATCH,0.35,0.5,1,glomark
Pest Control,MEDIUM,WATCH,0.35,0.5,1,glomark
Soft Drinks,MEDIUM,WATCH,0.35,0.5,1,glomark
Sweet,MEDIUM,WATCH,0.35,0.5,1,glomark
Toiletries Men,MEDIUM,WATCH,0.35,0.5,1,glomark
sanitary napkins,MEDIUM,STABLE,0.3440125113362911,0.0,1,daraz
baby diapers,MEDIUM,STABLE,0.3427306216874582,0.0,1,daraz
cooking oil,LOW,STABLE,0.32743461149147635,0.0,1,daraz
Tea,LOW,STABLE,0.27054053755895047,0.25,2,"daraz, glomark"
curry powder,LOW,STABLE,0.2636172771127716,0.0,1,daraz
toothpaste,LOW,STABLE,0.25971863500629766,0.0,1,daraz
Flour,LOW,STABLE,0.2584599711907485,0.25,2,"daraz, glomark"
instant noodles,LOW,STABLE,0.2580028064415806,0.0,1,daraz
shampoo,LOW,STABLE,0.23422524381527995,0.0,1,daraz
Coffee,LOW,STABLE,0.22885883489261738,0.25,2,"daraz, glomark"
Sugar,LOW,STABLE,0.2176928558578442,0.25,2,"daraz, glomark"
dhal,LOW,STABLE,0.19870350771079118,0.07407407407407407,1,daraz
coconut oil,LOW,STABLE,0.16553980719023856,0.0,1,daraz
salt,LOW,STABLE,0.08602015053228045,0.0,1,daraz
