week_number,month,province,product_name,category,avg_temperature_level,rainfall_level,tourism_level,payday_week,holiday_type,festival_season,school_season,urbanization_level,avg_income_level,demand_score,estimated_units_sold
29,July,Sabaragamuwa,Rice Flour,Staples,High,High,Low,No,None,No,Yes,Low,Medium,341.54,289
15,April,Sabaragamuwa,Maggi Noodles,Instant Foods,High,Low,Low,Yes,Sinhala_Tamil_New_Year,Yes,No,Low,Medium,261.72,210
22,May,Western,Wheat Flour,Staples,High,High,Medium,No,None,No,Yes,High,High,617.09,1135
9,March,Sabaragamuwa,Washing Powder,Household,High,Low,Low,No,None,No,Yes,Low,Medium,427.54,345
52,December,Uva,Milo,Dairy,Medium,Medium,Low,Yes,Christmas,Yes,No,Low,Low,233.32,203
47,November,Uva,Red Rice,Staples,Medium,Medium,Low,No,Poya,Yes,Yes,Low,Low,424.54,374
52,December,North Western,Arrack,Alcohol,Medium,Medium,Low,Yes,Christmas,Yes,No,Medium,Medium,883.43,1049
18,May,Southern,Kotmale Yoghurt,Dairy,High,High,Medium,No,Eid,Yes,Yes,Medium,Medium,380.22,437
7,February,Sabaragamuwa,Red Rice,Staples,Medium,Medium,Low,No,None,No,Yes,Low,Medium,451.46,381
11,March,Northern,Milo,Dairy,High,Medium,Low,Yes,None,No,Yes,Low,Low,397.35,339
1,January,North Central,Anchor Milk Powder,Dairy,Medium,High,Medium,No,Christmas,Yes,Yes,Low,Low,465.98,356
45,November,North Central,Washing Powder,Household,Medium,High,Low,No,Deepavali,Yes,Yes,Low,Low,304.37,244
13,March,Southern,Pepsi,Beverages,High,Low,High,No,Poya,Yes,Yes,Medium,Medium,1089.45,1371
48,November,Western,Elephant Ginger Beer,Beverages,Medium,Medium,Medium,Yes,None,No,Yes,High,High,839.59,1406
4,January,Southern,MD Crackers,Snacks,Medium,Medium,High,Yes,Poya,Yes,Yes,Medium,Medium,403.28,450
26,June,Northern,Rice Flour,Staples,High,Low,Low,No,Poya,Yes,Yes,Low,Low,415.32,333
40,October,Western,Wheat Flour,Staples,Medium,Low,Medium,Yes,None,No,Yes,High,High,504.99,825
43,October,Northern,Frozen Fish,Frozen Foods,Medium,Medium,Low,Yes,None,No,Yes,Low,Low,301.8,276
21,May,Uva,Lantern Materials,Seasonal/Ritual,High,Medium,Low,No,Vesak,Yes,Yes,Low,Low,1552.39,1357
5,February,Central,Ritzbury Chocolate,Snacks,Medium,Medium,High,No,None,No,Yes,Medium,Medium,441.66,632
16,April,Central,Necto,Beverages,Medium,Low,Medium,Yes,Sinhala_Tamil_New_Year,Yes,No,Medium,Medium,561.94,662
1,January,Sabaragamuwa,Ice Cream,Frozen Foods,Medium,Medium,Low,No,Christmas,Yes,Yes,Low,Medium,397.07,373
17,April,Southern,Rice Flour,Staples,High,Low,Medium,No,Eid,Yes,No,Medium,Medium,523.25,598
39,September,Eastern,Sunflower Oil,Cooking Essentials,Medium,Low,Medium,No,None,No,Yes,Low,Low,201.48,161
17,April,Uva,Candles,Seasonal/Ritual,High,Low,Low,No,Eid,Yes,No,Low,Low,388.66,339
3,January,Eastern,Rice,Staples,Medium,High,Medium,Yes,None,No,Yes,Low,Low,269.61,225
36,September,Uva,Frozen Fish,Frozen Foods,Medium,Medium,Low,Yes,None,No,Yes,Low,Low,259.05,235
35,August,Southern,Red Rice,Staples,High,High,Medium,No,None,No,Yes,Medium,Medium,401.15,498
24,June,Eastern,Candles,Seasonal/Ritual,High,Low,High,No,None,No,Yes,Low,Low,374.32,321
43,October,Northern,Rice Flour,Staples,Medium,Medium,Low,Yes,None,No,Yes,Low,Low,382.88,270
16,April,Southern,Arrack,Alcohol,High,Low,Medium,Yes,Sinhala_Tamil_New_Year,Yes,No,Medium,Medium,867.94,1122
48,November,Southern,Lantern Materials,Seasonal/Ritual,Medium,Medium,High,Yes,None,No,Yes,Medium,Medium,505.84,511
18,May,Northern,Coconut Oil,Cooking Essentials,High,Low,Low,No,Eid,Yes,Yes,Low,Low,886.1,823
15,April,Uva,Sunflower Oil,Cooking Essentials,High,Low,Low,No,Sinhala_Tamil_New_Year,Yes,No,Low,Low,273.27,262
15,April,Northern,Rice,Staples,High,Medium,Low,No,Sinhala_Tamil_New_Year,Yes,No,Low,Low,353.18,306
23,June,Eastern,Canned Fish,Canned Goods,High,Low,High,Yes,None,No,Yes,Low,Low,381.6,301
8,February,Western,Candles,Seasonal/Ritual,Medium,Medium,Medium,No,Poya,Yes,Yes,High,High,1071.31,1772
39,September,Central,Milo,Dairy,Low,High,Medium,Yes,None,No,Yes,Medium,Medium,1241.34,1629
25,June,Central,Candles,Seasonal/Ritual,Low,High,Medium,No,None,No,Yes,Medium,Medium,420.73,571
34,August,Western,Lantern Materials,Seasonal/Ritual,High,High,Medium,No,Poya,Yes,Yes,High,High,632.58,869
24,June,Northern,Milo,Dairy,High,Low,Low,Yes,None,No,Yes,Low,Low,497.56,444
47,November,Central,Candles,Seasonal/Ritual,Medium,Medium,Medium,Yes,Poya,Yes,Yes,Medium,Medium,645.54,810
36,September,Eastern,Dhal,Staples,Medium,Low,Medium,Yes,None,No,Yes,Low,Low,311.0,286
40,October,Southern,Maggi Noodles,Instant Foods,Medium,Low,Medium,Yes,None,No,Yes,Medium,Medium,522.34,627
51,December,North Central,Maggi Noodles,Instant Foods,Medium,High,Low,No,Christmas,Yes,No,Low,Low,331.02,290
31,July,Sabaragamuwa,Jaggery,Sweeteners,High,High,Low,No,None,No,Yes,Low,Medium,467.0,404
43,October,Sabaragamuwa,Canned Fish,Canned Goods,Medium,Low,Low,No,None,No,Yes,Low,Medium,251.23,207
15,April,Eastern,Jaggery,Sweeteners,High,Medium,Medium,Yes,Sinhala_Tamil_New_Year,Yes,No,Low,Low,811.42,746
30,July,Central,Milo,Dairy,Low,High,High,No,Poya,Yes,Yes,Medium,Medium,1231.04,1388
32,August,North Central,Anchor Milk Powder,Dairy,High,Low,Low,Yes,None,No,Yes,Low,Low,486.75,411
50,December,Central,Milo,Dairy,Medium,Medium,Medium,No,None,No,No,Medium,Medium,404.45,427
4,January,Uva,Ritzbury Chocolate,Snacks,Medium,Medium,Low,Yes,Poya,Yes,Yes,Low,Low,395.56,346
36,September,Sabaragamuwa,Prima Noodles,Instant Foods,Medium,High,Low,Yes,None,No,Yes,Low,Medium,640.81,567
28,July,Sabaragamuwa,Lion Beer,Alcohol,High,High,Low,No,None,No,Yes,Low,Medium,344.3,330
17,April,Uva,Sugar,Sweeteners,High,Low,Low,No,Eid,Yes,No,Low,Low,457.6,343
32,August,Sabaragamuwa,Canned Fish,Canned Goods,High,High,Low,Yes,None,No,Yes,Low,Medium,433.17,342
21,May,North Western,Candles,Seasonal/Ritual,High,Medium,Low,No,Vesak,Yes,Yes,Medium,Medium,2000,2511
46,November,Southern,Sunflower Oil,Cooking Essentials,Medium,Medium,High,No,None,No,Yes,Medium,Medium,264.03,335
4,January,North Central,Sunflower Oil,Cooking Essentials,Medium,High,Medium,No,Poya,Yes,Yes,Low,Low,320.33,215
49,December,Western,Maggi Noodles,Instant Foods,Medium,Medium,Medium,No,None,No,No,High,High,573.43,966
27,July,North Central,Ritzbury Chocolate,Snacks,High,Low,Low,No,None,No,Yes,Low,Low,267.82,217
18,May,Northern,Milo,Dairy,High,Low,Low,No,Eid,Yes,Yes,Low,Low,371.99,337
47,November,North Central,Coconut Oil,Cooking Essentials,Medium,High,Low,No,Poya,Yes,Yes,Low,Low,547.56,454
38,September,North Central,Maggi Noodles,Instant Foods,Medium,Low,Low,No,Poya,Yes,Yes,Low,Low,381.02,334
12,March,Uva,Red Rice,Staples,High,Low,Low,Yes,None,No,Yes,Low,Low,296.57,254
18,May,North Central,Sugar,Sweeteners,High,Low,Low,No,Eid,Yes,Yes,Low,Low,657.75,594
2,January,Uva,Washing Powder,Household,Medium,Medium,Low,No,None,No,Yes,Low,Low,298.86,251
50,December,Central,Canned Fish,Canned Goods,Medium,Medium,Medium,No,None,No,No,Medium,Medium,297.45,361
40,October,Western,Dhal,Staples,Medium,Low,Medium,Yes,None,No,Yes,High,High,609.74,1161
45,November,Uva,Coca-Cola,Beverages,Medium,Medium,Low,No,Deepavali,Yes,Yes,Low,Low,311.14,287
50,December,Central,Lion Beer,Alcohol,Medium,Medium,Medium,No,None,No,No,Medium,Medium,304.69,403
37,September,Eastern,Ice Cream,Frozen Foods,Medium,Low,Medium,No,None,No,Yes,Low,Low,340.34,326
5,February,Northern,Maggi Noodles,Instant Foods,Medium,High,Low,No,None,No,Yes,Low,Low,602.65,492
44,November,Eastern,Prima Noodles,Instant Foods,Medium,High,Medium,No,Deepavali,Yes,Yes,Low,Low,579.32,482
28,July,Sabaragamuwa,Ice Cream,Frozen Foods,High,High,Low,Yes,None,No,Yes,Low,Medium,898.76,858
7,February,Uva,Milo,Dairy,Medium,Medium,Low,No,None,No,Yes,Low,Low,452.7,337
12,March,North Central,Washing Powder,Household,High,Medium,Medium,Yes,None,No,Yes,Low,Low,285.27,210
30,July,Uva,Milo,Dairy,High,Medium,Low,No,Poya,Yes,Yes,Low,Low,420.93,339
6,February,Northern,Coca-Cola,Beverages,Medium,High,Low,No,None,No,Yes,Low,Low,350.7,322
22,May,North Central,Rice,Staples,High,Low,Low,No,None,No,Yes,Low,Low,352.39,321
52,December,North Western,Coca-Cola,Beverages,Medium,Medium,Low,Yes,Christmas,Yes,No,Medium,Medium,1045.7,1175
34,August,Western,Sunflower Oil,Cooking Essentials,High,High,Medium,No,Poya,Yes,Yes,High,High,419.33,638
45,November,Northern,Munchee Biscuits,Snacks,Medium,High,Low,No,Deepavali,Yes,Yes,Low,Low,541.11,458
19,May,Central,Tea Leaves,Beverages,Medium,High,Medium,Yes,None,No,Yes,Medium,Medium,1035.05,1157
34,August,Sabaragamuwa,Necto,Beverages,High,High,Low,No,Poya,Yes,Yes,Low,Medium,489.07,380
18,May,Uva,Pepsi,Beverages,High,Medium,Low,No,Eid,Yes,Yes,Low,Low,453.13,395
48,November,Central,Ritzbury Chocolate,Snacks,Medium,Medium,Medium,No,None,No,Yes,Medium,Medium,446.36,604
47,November,Eastern,Maggi Noodles,Instant Foods,Medium,High,Medium,No,Poya,Yes,Yes,Low,Low,513.9,448
19,May,Northern,Tea Leaves,Beverages,High,Low,Low,Yes,None,No,Yes,Low,Low,240.23,193
4,January,Western,Ritzbury Chocolate,Snacks,Medium,Medium,Medium,Yes,Poya,Yes,Yes,High,High,1144.44,1719
1,January,Central,Maggi Noodles,Instant Foods,Medium,Medium,High,No,Christmas,Yes,Yes,Medium,Medium,431.75,523
17,April,Western,Arrack,Alcohol,High,Low,Medium,No,Eid,Yes,No,High,High,839.0,1303
37,September,Central,Canned Fish,Canned Goods,Low,High,Medium,No,None,No,Yes,Medium,Medium,617.14,832
6,February,Eastern,Tea Leaves,Beverages,Medium,High,Medium,No,None,No,Yes,Low,Low,287.43,214
50,December,Northern,MD Crackers,Snacks,Medium,High,Low,No,None,No,No,Low,Low,258.75,209
20,May,North Central,Maggi Noodles,Instant Foods,High,Low,Low,No,Vesak,Yes,Yes,Low,Low,390.78,262
41,October,Northern,Sunflower Oil,Cooking Essentials,Medium,Medium,Low,No,None,No,Yes,Low,Low,271.39,235
5,February,Sabaragamuwa,Coconut Oil,Cooking Essentials,Medium,Medium,Low,No,None,No,Yes,Low,Medium,229.01,199
3,January,Eastern,Tea Leaves,Beverages,Medium,High,Medium,Yes,None,No,Yes,Low,Low,383.7,314
17,April,Northern,Jaggery,Sweeteners,High,Medium,Low,No,Eid,Yes,No,Low,Low,369.94,286
28,July,Northern,Rice Flour,Staples,High,Low,Low,Yes,None,No,Yes,Low,Low,414.14,318
4,January,Central,Coconut Oil,Cooking Essentials,Medium,Medium,High,No,Poya,Yes,Yes,Medium,Medium,602.06,601
8,February,Uva,Kotmale Yoghurt,Dairy,Medium,Medium,Low,No,Poya,Yes,Yes,Low,Low,343.46,279
29,July,Uva,Wheat Flour,Staples,High,Medium,Low,No,None,No,Yes,Low,Low,362.32,278
2,January,Eastern,Wheat Flour,Staples,Medium,High,Medium,No,None,No,Yes,Low,Low,262.74,188
49,December,Western,Ice Cream,Frozen Foods,Medium,Medium,Medium,No,None,No,No,High,High,761.85,1196
31,July,Southern,MD Crackers,Snacks,High,High,Medium,No,None,No,Yes,Medium,Medium,495.93,655
6,February,Uva,Munchee Biscuits,Snacks,Medium,Medium,Low,No,None,No,Yes,Low,Low,296.53,276
22,May,Southern,Milo,Dairy,High,High,Medium,No,None,No,Yes,Medium,Medium,747.86,1072
3,January,Sabaragamuwa,Kotmale Yoghurt,Dairy,Medium,Medium,Low,Yes,None,No,Yes,Low,Medium,383.44,353
1,January,Sabaragamuwa,Ice Cream,Frozen Foods,Medium,Medium,Low,No,Christmas,Yes,Yes,Low,Medium,410.7,347
24,June,Sabaragamuwa,Prima Noodles,Instant Foods,High,High,Low,No,None,No,Yes,Low,Medium,726.67,576
9,March,Sabaragamuwa,Lantern Materials,Seasonal/Ritual,High,Low,Low,No,None,No,Yes,Low,Medium,331.1,260
41,October,Western,Prima Noodles,Instant Foods,Medium,Low,Medium,No,None,No,Yes,High,High,846.45,1323
36,September,Western,Milo,Dairy,Medium,High,Medium,Yes,None,No,Yes,High,High,1547.79,2475
42,October,Central,Lion Beer,Alcohol,Medium,Low,Medium,No,Poya,Yes,Yes,Medium,Medium,92.9,108
27,July,Eastern,Lion Beer,Alcohol,High,Low,High,Yes,None,No,Yes,Low,Low,538.94,458
39,September,Northern,MD Crackers,Snacks,Medium,Low,Low,No,None,No,Yes,Low,Low,216.28,193
22,May,North Central,Lantern Materials,Seasonal/Ritual,High,Low,Low,No,None,No,Yes,Low,Low,329.18,278
38,September,Eastern,Maggi Noodles,Instant Foods,Medium,Low,Medium,No,Poya,Yes,Yes,Low,Low,413.0,348
31,July,Sabaragamuwa,Necto,Beverages,High,High,Low,Yes,None,No,Yes,Low,Medium,653.16,623
45,November,Northern,Tea Leaves,Beverages,Medium,High,Low,No,Deepavali,Yes,Yes,Low,Low,529.87,509
21,May,Western,Washing Powder,Household,High,High,Medium,No,Vesak,Yes,Yes,High,High,644.62,1037
32,August,Southern,Red Rice,Staples,High,High,Medium,Yes,None,No,Yes,Medium,Medium,481.3,597
7,February,Uva,MD Crackers,Snacks,Medium,Medium,Low,No,None,No,Yes,Low,Low,218.22,208
5,February,Southern,Munchee Biscuits,Snacks,Medium,Medium,High,No,None,No,Yes,Medium,Medium,752.41,1008
42,October,North Central,Wheat Flour,Staples,Medium,Medium,Low,No,Poya,Yes,Yes,Low,Low,428.72,313
21,May,North Central,Canned Fish,Canned Goods,High,Low,Low,No,Vesak,Yes,Yes,Low,Low,322.23,225
40,October,Western,Wheat Flour,Staples,Medium,Low,Medium,Yes,None,No,Yes,High,High,613.86,1091
28,July,Central,Rice Flour,Staples,Low,High,High,No,None,No,Yes,Medium,Medium,454.31,561
2,January,Eastern,Red Rice,Staples,Medium,High,Medium,No,None,No,Yes,Low,Low,312.65,270
10,March,North Central,Tea Leaves,Beverages,High,Medium,Medium,No,None,No,Yes,Low,Low,213.17,168
12,March,Southern,Wheat Flour,Staples,High,Low,High,No,None,No,Yes,Medium,Medium,386.23,422
15,April,Southern,Kotmale Yoghurt,Dairy,High,Low,Medium,No,Sinhala_Tamil_New_Year,Yes,No,Medium,Medium,390.1,396
19,May,Uva,Ice Cream,Frozen Foods,High,Medium,Low,Yes,None,No,Yes,Low,Low,711.39,548
41,October,Eastern,Milo,Dairy,Medium,Medium,Medium,No,None,No,Yes,Low,Low,376.06,322
31,July,North Central,Rice Flour,Staples,High,Low,Low,Yes,None,No,Yes,Low,Low,294.77,218
2,January,Eastern,Lion Beer,Alcohol,Medium,High,Medium,No,None,No,Yes,Low,Low,299.22,278
39,September,Western,Washing Powder,Household,Medium,High,Medium,Yes,None,No,Yes,High,High,676.51,1302
15,April,North Western,Canned Fish,Canned Goods,High,Low,Low,Yes,Sinhala_Tamil_New_Year,Yes,No,Medium,Medium,364.57,375
41,October,Southern,Rice Flour,Staples,Medium,Low,Medium,No,None,No,Yes,Medium,Medium,448.57,508
3,January,Uva,Maggi Noodles,Instant Foods,Medium,Medium,Low,Yes,None,No,Yes,Low,Low,294.94,238
12,March,North Central,Sunflower Oil,Cooking Essentials,High,Medium,Medium,Yes,None,No,Yes,Low,Low,383.29,316
11,March,Eastern,Coca-Cola,Beverages,High,Medium,Medium,No,None,No,Yes,Low,Low,694.77,575
52,December,North Western,Rice Flour,Staples,Medium,Medium,Low,Yes,Christmas,Yes,No,Medium,Medium,358.09,404
52,December,North Central,Ritzbury Chocolate,Snacks,Medium,High,Low,Yes,Christmas,Yes,No,Low,Low,1338.17,1134
24,June,Uva,Ice Cream,Frozen Foods,High,Medium,Low,No,None,No,Yes,Low,Low,488.86,444
7,February,North Western,Ice Cream,Frozen Foods,Medium,Medium,Low,Yes,None,No,Yes,Medium,Medium,413.8,461
42,October,Northern,Wheat Flour,Staples,Medium,Medium,Low,No,Poya,Yes,Yes,Low,Low,324.82,281
8,February,North Central,Dhal,Staples,Medium,High,Medium,Yes,Poya,Yes,Yes,Low,Low,278.18,233
35,August,Northern,Dhal,Staples,High,Low,Low,Yes,None,No,Yes,Low,Low,332.94,268
27,July,Sabaragamuwa,Maggi Noodles,Instant Foods,High,High,Low,No,None,No,Yes,Low,Medium,508.85,436
40,October,Uva,Milo,Dairy,Medium,Low,Low,No,None,No,Yes,Low,Low,302.78,241
16,April,Uva,Arrack,Alcohol,High,Low,Low,Yes,Sinhala_Tamil_New_Year,Yes,No,Low,Low,477.38,454
4,January,North Western,Anchor Milk Powder,Dairy,Medium,Medium,Low,Yes,Poya,Yes,Yes,Medium,Medium,912.93,1042
43,October,Central,Sunflower Oil,Cooking Essentials,Medium,Low,Medium,No,None,No,Yes,Medium,Medium,438.59,537
9,March,Northern,Jaggery,Sweeteners,High,Medium,Low,No,None,No,Yes,Low,Low,393.47,350
38,September,Northern,Sunflower Oil,Cooking Essentials,Medium,Low,Low,No,Poya,Yes,Yes,Low,Low,364.75,350
18,May,Western,Arrack,Alcohol,High,High,Medium,No,Eid,Yes,Yes,High,High,1143.89,1906
8,February,Southern,Ice Cream,Frozen Foods,Medium,Medium,High,No,Poya,Yes,Yes,Medium,Medium,307.67,411
2,January,North Western,Coconut Oil,Cooking Essentials,Medium,Medium,Low,No,None,No,Yes,Medium,Medium,437.73,558
48,November,Central,Wheat Flour,Staples,Medium,Medium,Medium,Yes,None,No,Yes,Medium,Medium,438.57,525
15,April,Sabaragamuwa,Prima Noodles,Instant Foods,High,Low,Low,Yes,Sinhala_Tamil_New_Year,Yes,No,Low,Medium,445.57,346
42,October,Uva,Rice,Staples,Medium,Low,Low,No,Poya,Yes,Yes,Low,Low,274.45,233
32,August,Central,Frozen Fish,Frozen Foods,Low,High,High,No,None,No,Yes,Medium,Medium,243.36,308
9,March,Central,Coca-Cola,Beverages,Medium,Low,Medium,No,None,No,Yes,Medium,Medium,503.19,563
39,September,North Central,MD Crackers,Snacks,Medium,Low,Low,Yes,None,No,Yes,Low,Low,298.13,266
42,October,Central,Canned Fish,Canned Goods,Medium,Low,Medium,No,Poya,Yes,Yes,Medium,Medium,406.27,462
29,July,North Central,Candles,Seasonal/Ritual,High,Low,Low,No,None,No,Yes,Low,Low,214.27,194
47,November,North Central,Rice Flour,Staples,Medium,High,Low,Yes,Poya,Yes,Yes,Low,Low,299.97,304
5,February,Uva,Wheat Flour,Staples,Medium,Medium,Low,No,None,No,Yes,Low,Low,416.11,357
52,December,North Western,Dhal,Staples,Medium,Medium,Low,Yes,Christmas,Yes,No,Medium,Medium,479.81,560
27,July,Central,Necto,Beverages,Low,High,High,No,None,No,Yes,Medium,Medium,530.81,692
19,May,Western,Prima Noodles,Instant Foods,High,High,Medium,Yes,None,No,Yes,High,High,905.84,1518
15,April,Uva,Arrack,Alcohol,High,Low,Low,Yes,Sinhala_Tamil_New_Year,Yes,No,Low,Low,457.32,424
52,December,Northern,Milo,Dairy,Medium,High,Low,No,Christmas,Yes,No,Low,Low,433.8,326
2,January,Sabaragamuwa,Prima Noodles,Instant Foods,Medium,Medium,Low,No,None,No,Yes,Low,Medium,577.91,457
18,May,Southern,Frozen Fish,Frozen Foods,High,High,Medium,No,Eid,Yes,Yes,Medium,Medium,410.97,475
10,March,Southern,Maggi Noodles,Instant Foods,High,Low,High,No,None,No,Yes,Medium,Medium,660.51,839
6,February,Western,Washing Powder,Household,Medium,Medium,Medium,No,None,No,Yes,High,High,609.29,1089
24,June,Southern,Pepsi,Beverages,High,High,Medium,No,None,No,Yes,Medium,Medium,1000.79,1184
10,March,Western,Coconut Oil,Cooking Essentials,High,Low,Medium,No,None,No,Yes,High,High,754.22,1280
43,October,Uva,Milo,Dairy,Medium,Low,Low,Yes,None,No,Yes,Low,Low,407.69,390
23,June,Central,Milo,Dairy,Low,High,Medium,Yes,None,No,Yes,Medium,Medium,1442.79,1634
3,January,Eastern,Tea Leaves,Beverages,Medium,High,Medium,Yes,None,No,Yes,Low,Low,484.16,408
50,December,Northern,Dhal,Staples,Medium,High,Low,No,None,No,No,Low,Low,399.78,350
48,November,Uva,Milo,Dairy,Medium,Medium,Low,Yes,None,No,Yes,Low,Low,402.0,306
5,February,North Western,Anchor Milk Powder,Dairy,Medium,Medium,Low,No,None,No,Yes,Medium,Medium,665.45,802
21,May,Central,Maggi Noodles,Instant Foods,Medium,High,Medium,No,Vesak,Yes,Yes,Medium,Medium,721.64,924
8,February,Eastern,Anchor Milk Powder,Dairy,Medium,High,Medium,Yes,Poya,Yes,Yes,Low,Low,412.18,308
6,February,North Western,Milo,Dairy,Medium,Medium,Low,No,None,No,Yes,Medium,Medium,709.49,946
6,February,Sabaragamuwa,Anchor Milk Powder,Dairy,Medium,Medium,Low,No,None,No,Yes,Low,Medium,564.71,446
5,February,Southern,MD Crackers,Snacks,Medium,Medium,High,No,None,No,Yes,Medium,Medium,431.78,513
23,June,North Western,Washing Powder,Household,High,Medium,Low,No,None,No,Yes,Medium,Medium,453.17,561
13,March,Eastern,Coconut Oil,Cooking Essentials,High,Medium,Medium,No,Poya,Yes,Yes,Low,Low,403.85,298
50,December,Southern,Canned Fish,Canned Goods,Medium,Medium,High,No,None,No,No,Medium,Medium,510.93,527
44,November,Uva,Lantern Materials,Seasonal/Ritual,Medium,Medium,Low,No,Deepavali,Yes,Yes,Low,Low,293.03,245
10,March,North Western,Kotmale Yoghurt,Dairy,High,Low,Low,No,None,No,Yes,Medium,Medium,300.74,370
38,September,Eastern,Red Rice,Staples,Medium,Low,Medium,No,Poya,Yes,Yes,Low,Low,293.25,257
4,January,Western,Necto,Beverages,Medium,Medium,Medium,No,Poya,Yes,Yes,High,High,647.47,954
25,June,Sabaragamuwa,Kotmale Yoghurt,Dairy,High,High,Low,No,None,No,Yes,Low,Medium,393.28,318
29,July,Western,Lantern Materials,Seasonal/Ritual,High,High,Medium,No,None,No,Yes,High,High,672.66,1062
33,August,Uva,Dhal,Staples,High,Medium,Low,No,None,No,Yes,Low,Low,353.13,310
46,November,North Western,Wheat Flour,Staples,Medium,Medium,Low,No,None,No,Yes,Medium,Medium,468.68,594
29,July,Uva,MD Crackers,Snacks,High,Medium,Low,No,None,No,Yes,Low,Low,277.32,249
25,June,Eastern,Milo,Dairy,High,Low,High,No,None,No,Yes,Low,Low,443.45,363
5,February,North Western,Elephant Ginger Beer,Beverages,Medium,Medium,Low,No,None,No,Yes,Medium,Medium,308.0,347
22,May,Southern,Wheat Flour,Staples,High,High,Medium,No,None,No,Yes,Medium,Medium,448.73,571
9,March,North Central,Prima Noodles,Instant Foods,High,Medium,Medium,No,None,No,Yes,Low,Low,450.52,399
9,March,North Western,Ice Cream,Frozen Foods,High,Low,Low,No,None,No,Yes,Medium,Medium,1502.3,1635
6,February,Sabaragamuwa,Canned Fish,Canned Goods,Medium,Medium,Low,No,None,No,Yes,Low,Medium,387.66,325
12,March,Eastern,Sunflower Oil,Cooking Essentials,High,Medium,Medium,Yes,None,No,Yes,Low,Low,370.67,423
5,February,Southern,Pepsi,Beverages,Medium,Medium,High,No,None,No,Yes,Medium,Medium,847.79,1104
3,January,Sabaragamuwa,Ice Cream,Frozen Foods,Medium,Medium,Low,Yes,None,No,Yes,Low,Medium,546.18,486
12,March,Southern,Lion Beer,Alcohol,High,Low,High,No,None,No,Yes,Medium,Medium,892.65,989
