week_number,month,province,product_name,category,avg_temperature_level,rainfall_level,tourism_level,payday_week,holiday_type,festival_season,school_season,urbanization_level,avg_income_level,demand_score,estimated_units_sold
52,December,Southern,Dhal,Staples,Low,High,High,Yes,Christmas,Yes,No,Medium,Medium,337.95,1680
5,January,Southern,Rice Flour,Cooking Essentials,Low,Medium,High,No,None,No,Yes,Medium,Medium,316.42,449
25,June,North Western,Prima Noodles,Instant Foods,High,Low,Low,No,None,No,Yes,Medium,Medium,337.19,911
13,March,Eastern,Anchor Milk Powder,Dairy,High,High,Medium,No,None,No,No,Low,Low,247.48,268
29,July,Southern,Sugar,Sweeteners,High,Low,Medium,No,None,No,Yes,Medium,Medium,326.06,403
40,October,Sabaragamuwa,Wheat Flour,Cooking Essentials,Low,Medium,Low,Yes,Poya,Yes,Yes,Low,Low,363.5,442
42,October,Eastern,Sugar,Sweeteners,Medium,Low,Medium,Yes,None,No,Yes,Low,Low,254.54,326
34,August,Southern,Kotmale Yoghurt,Dairy,High,Low,High,Yes,None,No,Yes,Medium,Medium,691.91,536
28,July,North Western,Sunflower Oil,Cooking Essentials,High,Low,Low,Yes,Poya,Yes,Yes,Medium,Medium,753.07,1028
23,June,North Western,MD Crackers,Snacks,High,Medium,Low,No,None,No,Yes,Medium,Medium,354.62,773
46,November,Sabaragamuwa,Elephant Ginger Beer,Beverages,Low,Medium,Medium,Yes,None,No,Yes,Low,Low,395.03,648
48,November,Western,Rice,Staples,Low,Medium,High,Yes,Poya,Yes,Yes,High,High,604.68,1898
40,October,Western,Pepsi,Beverages,Medium,Low,High,Yes,Poya,Yes,Yes,High,High,1405.88,2951
29,July,North Central,Necto,Beverages,High,Low,Low,No,None,No,Yes,Low,Low,584.25,932
45,November,North Central,Coconut Oil,Cooking Essentials,Low,Medium,Low,No,None,No,Yes,Low,Low,320.43,334
2,January,Uva,Kotmale Yoghurt,Dairy,Low,Medium,Low,Yes,None,No,Yes,Low,Low,387.94,279
2,January,North Central,Coconut Oil,Cooking Essentials,Low,High,Medium,Yes,None,No,Yes,Low,Low,243.17,227
49,December,Western,Munchee Biscuits,Snacks,Low,Medium,High,No,None,No,No,High,High,694.08,1959
16,April,Uva,Canned Fish,Canned Goods,High,High,Low,Yes,Poya,Yes,No,Low,Low,371.42,544
34,August,Northern,Lion Beer,Alcohol,Medium,Low,Low,Yes,None,No,Yes,Low,Low,281.91,206
31,July,Central,Munchee Biscuits,Snacks,Medium,Low,Medium,No,None,No,Yes,Medium,Medium,451.03,874
47,November,Sabaragamuwa,Rice Flour,Cooking Essentials,Low,Medium,Medium,No,None,No,Yes,Low,Low,363.18,416
11,March,Western,Lion Beer,Alcohol,Medium,Medium,High,No,Eid,Yes,Yes,High,High,1239.43,814
6,February,North Western,Tea Leaves,Beverages,Low,Medium,Medium,Yes,None,No,Yes,Medium,Medium,451.59,680
41,October,North Central,Dhal,Staples,Low,Low,Low,No,None,No,Yes,Low,Low,235.35,1099
4,January,Sabaragamuwa,Necto,Beverages,Low,High,Low,Yes,Poya,Yes,Yes,Low,Low,360.33,813
39,September,North Western,Washing Powder,Household,Low,Low,Medium,No,None,No,Yes,Medium,Medium,567.25,728
4,January,Northern,Arrack,Alcohol,Medium,Medium,Low,Yes,Poya,Yes,Yes,Low,Low,668.49,303
10,March,Central,Maggi Noodles,Instant Foods,Medium,High,Medium,Yes,Eid,Yes,Yes,Medium,Medium,748.32,2085
2,January,Central,Kotmale Yoghurt,Dairy,Low,High,High,Yes,None,No,Yes,Medium,Medium,464.29,352
47,November,North Central,Ice Cream,Frozen Foods,Low,Low,Low,No,None,No,Yes,Low,Low,230.31,159
35,August,Central,Wheat Flour,Cooking Essentials,Low,Low,Low,No,None,No,Yes,Medium,Medium,464.35,535
17,April,Southern,Sugar,Sweeteners,High,Medium,High,No,None,No,No,Medium,Medium,748.82,1304
20,May,Northern,Red Rice,Staples,High,Low,Low,Yes,Poya,Yes,Yes,Low,Low,300.04,1500
26,June,North Western,Coca-Cola,Beverages,High,Medium,Low,Yes,None,No,Yes,Medium,Medium,695.53,1089
38,September,Western,Sugar,Sweeteners,Low,Low,High,Yes,None,No,Yes,High,High,662.46,1026
22,May,Western,Arrack,Alcohol,High,Low,High,Yes,None,No,Yes,High,High,1050.22,670
13,March,North Western,Necto,Beverages,High,High,Low,No,None,No,No,Medium,Medium,756.2,1181
47,November,Central,Rice,Staples,Low,Medium,High,No,None,No,Yes,Medium,Medium,574.7,2237
30,July,North Western,Coconut Oil,Cooking Essentials,Medium,Low,Low,Yes,None,No,Yes,Medium,Medium,339.22,513
16,April,Uva,Jaggery,Sweeteners,High,High,Low,Yes,Poya,Yes,No,Low,Low,400.67,769
21,May,Southern,Dhal,Staples,High,Medium,Medium,No,None,No,Yes,Medium,Medium,554.22,2076
47,November,Southern,Rice Flour,Cooking Essentials,Low,Medium,High,No,None,No,Yes,Medium,Medium,437.01,514
26,June,North Central,Milo,Dairy,High,Low,Medium,Yes,None,No,Yes,Low,Low,348.96,260
28,July,Uva,Sugar,Sweeteners,Medium,Low,Low,Yes,Poya,Yes,Yes,Low,Low,280.85,364
18,April,Uva,Wheat Flour,Cooking Essentials,High,High,Low,Yes,Vesak,Yes,Yes,Low,Low,339.77,369
41,October,Northern,Coconut Oil,Cooking Essentials,Low,Low,Low,No,None,No,Yes,Low,Low,212.12,249
23,June,Western,Rice Flour,Cooking Essentials,High,Low,High,No,None,No,Yes,High,High,744.21,676
52,December,Uva,Rice,Staples,Low,High,Low,Yes,Christmas,Yes,No,Low,Low,344.21,1356
29,July,Uva,Ice Cream,Frozen Foods,Medium,Low,Low,No,None,No,Yes,Low,Low,426.49,296
13,March,Eastern,Maggi Noodles,Instant Foods,High,Medium,Medium,No,None,No,No,Low,Low,281.04,820
21,May,North Central,Frozen Fish,Frozen Foods,High,Low,Low,No,None,No,Yes,Low,Low,474.71,314
35,August,North Central,Necto,Beverages,Medium,Low,Low,No,None,No,Yes,Low,Low,321.36,724
39,September,North Central,Necto,Beverages,Medium,Low,Low,No,None,No,Yes,Low,Low,359.82,525
26,June,Eastern,Canned Fish,Canned Goods,High,Low,Medium,Yes,None,No,Yes,Low,Low,446.96,550
15,April,Uva,Arrack,Alcohol,High,High,Medium,No,Sinhala_Tamil_New_Year,Yes,No,Low,Low,517.01,238
17,April,Central,Prima Noodles,Instant Foods,Medium,Medium,High,No,None,No,No,Medium,Medium,290.44,601
37,September,Central,Anchor Milk Powder,Dairy,Low,Low,Medium,No,None,No,No,Medium,Medium,260.8,177
14,April,Sabaragamuwa,Rice,Staples,High,High,Low,Yes,Sinhala_Tamil_New_Year,Yes,No,Low,Low,363.71,1216
35,August,Eastern,MD Crackers,Snacks,High,Low,Medium,No,None,No,Yes,Low,Low,390.2,951
17,April,North Western,Ice Cream,Frozen Foods,High,Medium,Low,No,None,No,No,Medium,Medium,1041.98,658
6,February,Eastern,Tea Leaves,Beverages,Medium,High,High,Yes,None,No,Yes,Low,Low,688.47,1549
3,January,Uva,Tea Leaves,Beverages,Low,High,Low,No,None,No,Yes,Low,Low,392.2,840
39,September,Northern,Pepsi,Beverages,Low,Low,Medium,No,None,No,Yes,Low,Low,294.21,456
41,October,North Western,Sunflower Oil,Cooking Essentials,Low,Medium,Medium,No,None,No,Yes,Medium,Medium,346.74,380
45,November,North Western,Munchee Biscuits,Snacks,Low,Medium,Medium,No,None,No,Yes,Medium,Medium,543.2,1161
11,March,Uva,Canned Fish,Canned Goods,Medium,High,Medium,No,Eid,Yes,Yes,Low,Low,352.06,452
35,August,Uva,Anchor Milk Powder,Dairy,Medium,Low,Low,No,None,No,Yes,Low,Low,280.65,281
23,June,Sabaragamuwa,Munchee Biscuits,Snacks,High,Low,Low,No,None,No,Yes,Low,Low,385.55,989
36,September,Southern,Ice Cream,Frozen Foods,Medium,Low,High,Yes,Poya,Yes,No,Medium,Medium,819.97,485
13,March,Southern,Candles,Household,High,Medium,High,No,None,No,No,Medium,Medium,662.72,649
17,April,North Central,Rice,Staples,High,High,Low,No,None,No,No,Low,Low,306.53,1189
34,August,Central,MD Crackers,Snacks,Low,Low,High,Yes,None,No,Yes,Medium,Medium,641.91,1175
52,December,Uva,Canned Fish,Canned Goods,Low,Medium,Medium,Yes,Christmas,Yes,No,Low,Low,516.94,550
12,March,Southern,Elephant Ginger Beer,Beverages,Medium,High,High,Yes,Poya,Yes,No,Medium,Medium,979.02,2101
1,January,North Central,Milo,Dairy,Low,High,Low,No,None,No,Yes,Low,Low,402.64,408
48,November,Sabaragamuwa,Wheat Flour,Cooking Essentials,Low,High,Medium,Yes,Poya,Yes,Yes,Low,Low,221.13,262
30,July,Sabaragamuwa,Necto,Beverages,Medium,Low,Low,Yes,None,No,Yes,Low,Low,470.03,1089
6,February,Southern,Sunflower Oil,Cooking Essentials,Medium,Medium,High,Yes,None,No,Yes,Medium,Medium,516.96,651
12,March,Northern,Kotmale Yoghurt,Dairy,High,Medium,High,Yes,Poya,Yes,No,Low,Low,362.95,298
12,March,North Central,Milo,Dairy,High,Medium,High,Yes,Poya,Yes,No,Low,Low,377.7,410
18,April,North Western,Red Rice,Staples,High,Medium,Medium,Yes,Vesak,Yes,Yes,Medium,Medium,480.38,1646
12,March,Central,Ritzbury Chocolate,Snacks,Low,High,Medium,Yes,Poya,Yes,No,Medium,Medium,758.2,1775
38,September,Sabaragamuwa,Ritzbury Chocolate,Snacks,Low,Low,Low,Yes,None,No,Yes,Low,Low,411.73,1038
20,May,Central,Dhal,Staples,High,Medium,Medium,Yes,Poya,Yes,Yes,Medium,Medium,556.31,2435
48,November,Southern,Coconut Oil,Cooking Essentials,Low,Medium,High,Yes,Poya,Yes,Yes,Medium,Medium,486.63,722
16,April,North Central,Red Rice,Staples,High,Low,Low,Yes,Poya,Yes,No,Low,Low,518.08,2452
22,May,Sabaragamuwa,Sunflower Oil,Cooking Essentials,High,Low,Low,Yes,None,No,Yes,Low,Low,248.51,232
18,April,Eastern,Canned Fish,Canned Goods,High,Medium,Low,Yes,Vesak,Yes,Yes,Low,Low,349.98,531
47,November,Southern,MD Crackers,Snacks,Low,Medium,High,No,None,No,Yes,Medium,Medium,557.14,1522
5,January,Northern,Washing Powder,Household,Medium,Medium,Medium,No,None,No,Yes,Low,Low,289.99,333
31,July,Eastern,Maggi Noodles,Instant Foods,High,Low,Medium,No,None,No,Yes,Low,Low,353.21,722
20,May,Southern,Jaggery,Sweeteners,High,Low,High,Yes,Poya,Yes,Yes,Medium,Medium,892.73,1201
13,March,Southern,Rice Flour,Cooking Essentials,High,High,High,No,None,No,No,Medium,Medium,271.63,247
45,November,Sabaragamuwa,Tea Leaves,Beverages,Low,Medium,Low,No,None,No,Yes,Low,Low,209.43,367
26,June,Sabaragamuwa,Arrack,Alcohol,High,Low,Low,Yes,None,No,Yes,Low,Low,264.88,182
44,October,Western,Coca-Cola,Beverages,Low,Low,High,Yes,Deepavali,Yes,Yes,High,High,1291.02,2849
35,August,Sabaragamuwa,Lantern Materials,Household,Medium,Low,Low,No,None,No,Yes,Low,Low,186.61,210
23,June,Northern,Kotmale Yoghurt,Dairy,High,Low,Low,No,None,No,Yes,Low,Low,392.1,448
15,April,North Central,Red Rice,Staples,High,Medium,Low,No,Sinhala_Tamil_New_Year,Yes,No,Low,Low,551.25,2097
20,May,Central,Wheat Flour,Cooking Essentials,Medium,Medium,Medium,Yes,Poya,Yes,Yes,Medium,Medium,555.06,516
47,November,North Western,MD Crackers,Snacks,Low,Medium,Low,No,None,No,Yes,Medium,Medium,589.25,1681
17,April,Northern,Arrack,Alcohol,High,Low,Low,No,None,No,No,Low,Low,283.45,190
51,December,Eastern,Sunflower Oil,Cooking Essentials,Low,Medium,High,No,Christmas,Yes,No,Low,Low,242.73,369
48,November,Western,Red Rice,Staples,Low,Medium,High,Yes,Poya,Yes,Yes,High,High,1215.84,4618
18,April,North Central,Tea Leaves,Beverages,High,Low,Medium,Yes,Vesak,Yes,Yes,Low,Low,971.45,1538
25,June,Sabaragamuwa,Candles,Household,High,Low,Low,No,None,No,Yes,Low,Low,295.76,392
24,June,Northern,Dhal,Staples,High,Low,Low,Yes,Poya,Yes,Yes,Low,Low,341.69,1591
51,December,Eastern,Maggi Noodles,Instant Foods,Medium,Medium,Medium,No,Christmas,Yes,No,Low,Low,369.21,1006
38,September,Southern,Red Rice,Staples,Low,Low,High,Yes,None,No,Yes,Medium,Medium,607.46,2040
9,February,North Central,Coca-Cola,Beverages,High,Medium,Low,No,None,No,Yes,Low,Low,658.71,1376
2,January,Eastern,Prima Noodles,Instant Foods,Low,High,High,Yes,None,No,Yes,Low,Low,476.88,1316
39,September,Central,Maggi Noodles,Instant Foods,Low,Low,Medium,No,None,No,Yes,Medium,Medium,673.75,1726
30,July,North Western,Coconut Oil,Cooking Essentials,High,Low,Low,Yes,None,No,Yes,Medium,Medium,644.86,801
28,July,Eastern,Kotmale Yoghurt,Dairy,High,Low,Medium,Yes,Poya,Yes,Yes,Low,Low,396.92,331
28,July,Northern,Rice Flour,Cooking Essentials,High,Low,Low,Yes,Poya,Yes,Yes,Low,Low,214.17,252
20,May,North Central,Frozen Fish,Frozen Foods,High,Medium,Low,Yes,Poya,Yes,Yes,Low,Low,793.38,510
15,April,Uva,Necto,Beverages,High,High,Low,No,Sinhala_Tamil_New_Year,Yes,No,Low,Low,475.31,683
10,March,North Central,Ice Cream,Frozen Foods,High,Medium,Low,Yes,Eid,Yes,Yes,Low,Low,896.34,614
13,March,Central,Rice,Staples,Medium,High,High,No,None,No,No,Medium,Medium,548.17,1840
5,January,Sabaragamuwa,Coconut Oil,Cooking Essentials,Low,High,Medium,No,None,No,Yes,Low,Low,376.36,494
10,March,Central,Tea Leaves,Beverages,Low,High,High,Yes,Eid,Yes,Yes,Medium,Medium,624.44,1085
7,February,Eastern,Sunflower Oil,Cooking Essentials,Medium,Low,High,No,None,No,Yes,Low,Low,240.18,343
41,October,Sabaragamuwa,Ritzbury Chocolate,Snacks,Low,Low,Medium,No,None,No,Yes,Low,Low,472.09,958
27,July,Central,Anchor Milk Powder,Dairy,Medium,Low,Medium,No,None,No,Yes,Medium,Medium,354.14,278
48,November,Northern,Munchee Biscuits,Snacks,Low,Medium,Low,Yes,Poya,Yes,Yes,Low,Low,682.45,1432
3,January,Uva,Coca-Cola,Beverages,Low,High,High,No,None,No,Yes,Low,Low,382.27,653
52,December,Western,Canned Fish,Canned Goods,Low,Medium,High,Yes,Christmas,Yes,No,High,High,695.22,954
20,May,Western,Milo,Dairy,High,Medium,High,Yes,Poya,Yes,Yes,High,High,970.77,907
14,April,Uva,Lantern Materials,Household,Medium,High,Low,Yes,Sinhala_Tamil_New_Year,Yes,No,Low,Low,290.99,392
15,April,North Western,Lantern Materials,Household,High,High,Low,No,Sinhala_Tamil_New_Year,Yes,No,Medium,Medium,434.05,472
30,July,Sabaragamuwa,Canned Fish,Canned Goods,Medium,Low,Medium,Yes,None,No,Yes,Low,Low,335.87,402
32,August,Western,Canned Fish,Canned Goods,Medium,Low,High,Yes,Poya,Yes,Yes,High,High,603.56,889
45,November,Eastern,Lantern Materials,Household,Low,Medium,Low,No,None,No,Yes,Low,Low,195.38,245
2,January,North Western,Candles,Household,Low,High,Low,Yes,None,No,Yes,Medium,Medium,603.4,528
2,January,Uva,Kotmale Yoghurt,Dairy,Low,High,Low,Yes,None,No,Yes,Low,Low,490.82,415
12,March,Eastern,Jaggery,Sweeteners,High,Low,High,Yes,Poya,Yes,No,Low,Low,443.79,665
4,January,North Western,Wheat Flour,Cooking Essentials,Medium,High,Low,Yes,Poya,Yes,Yes,Medium,Medium,519.12,621
47,November,Northern,Sugar,Sweeteners,Low,Medium,Low,No,None,No,Yes,Low,Low,182.62,378
51,December,Western,Milo,Dairy,Low,Medium,High,No,Christmas,Yes,No,High,High,883.19,741
19,May,Western,Candles,Household,High,Low,High,No,Vesak,Yes,Yes,High,High,955.03,874
6,February,Northern,Dhal,Staples,Medium,Low,Low,Yes,None,No,Yes,Low,Low,312.8,1392
39,September,Southern,Jaggery,Sweeteners,Low,Low,High,No,None,No,Yes,Medium,Medium,589.97,978
13,March,North Central,Rice,Staples,High,Medium,Low,No,None,No,No,Low,Low,214.36,752
33,August,Western,Frozen Fish,Frozen Foods,Medium,Low,High,No,None,No,Yes,High,High,594.73,480
26,June,Southern,Candles,Household,High,Medium,Medium,Yes,None,No,Yes,Medium,Medium,814.08,686
36,September,Western,Ice Cream,Frozen Foods,Medium,Low,High,Yes,Poya,Yes,No,High,High,1166.81,1056
28,July,Central,Dhal,Staples,High,Low,High,Yes,Poya,Yes,Yes,Medium,Medium,471.77,2102
45,November,Northern,Necto,Beverages,Low,Medium,Low,No,None,No,Yes,Low,Low,343.98,510
42,October,Central,Ritzbury Chocolate,Snacks,Low,Medium,Low,Yes,None,No,Yes,Medium,Medium,648.19,1458
33,August,North Western,Elephant Ginger Beer,Beverages,High,Low,Low,No,None,No,Yes,Medium,Medium,1035.89,2401
37,September,Central,Canned Fish,Canned Goods,Low,Low,Medium,No,None,No,No,Medium,Medium,670.92,781
37,September,Eastern,Tea Leaves,Beverages,Medium,Low,Medium,No,None,No,No,Low,Low,558.03,819
12,March,North Western,Lion Beer,Alcohol,High,Medium,Low,Yes,Poya,Yes,No,Medium,Medium,464.97,352
29,July,Southern,Elephant Ginger Beer,Beverages,High,Low,High,No,None,No,Yes,Medium,Medium,1130.48,2115
16,April,Uva,Necto,Beverages,High,Medium,Medium,Yes,Poya,Yes,No,Low,Low,872.44,1409
25,June,Southern,Ice Cream,Frozen Foods,High,Low,High,No,None,No,Yes,Medium,Medium,1064.3,847
21,May,North Western,Prima Noodles,Instant Foods,High,Low,Low,No,None,No,Yes,Medium,Medium,466.17,1089
52,December,Eastern,Munchee Biscuits,Snacks,Low,High,Low,Yes,Christmas,Yes,No,Low,Low,630.27,1543
33,August,North Western,Coca-Cola,Beverages,High,Low,Low,No,None,No,Yes,Medium,Medium,557.05,1025
31,July,North Western,Coca-Cola,Beverages,High,Low,Low,No,None,No,Yes,Medium,Medium,547.3,1124
24,June,Eastern,Frozen Fish,Frozen Foods,High,Low,Medium,Yes,Poya,Yes,Yes,Low,Low,670.76,495
8,February,Eastern,Red Rice,Staples,Medium,Medium,Medium,Yes,Poya,Yes,Yes,Low,Low,245.78,1125
50,December,Western,Jaggery,Sweeteners,Low,Medium,Medium,Yes,None,No,No,High,High,620.34,1011
33,August,Eastern,Rice Flour,Cooking Essentials,High,Low,Low,No,None,No,Yes,Low,Low,231.74,217
25,June,Southern,Necto,Beverages,High,Low,Medium,No,None,No,Yes,Medium,Medium,1233.69,2533
47,November,Eastern,Canned Fish,Canned Goods,Low,Low,Medium,No,None,No,Yes,Low,Low,366.35,458
18,April,Northern,Washing Powder,Household,High,Medium,Low,Yes,Vesak,Yes,Yes,Low,Low,354.94,483
26,June,North Central,Lion Beer,Alcohol,High,Low,Low,Yes,None,No,Yes,Low,Low,313.49,216
46,November,Southern,Wheat Flour,Cooking Essentials,Low,Medium,High,Yes,None,No,Yes,Medium,Medium,560.3,565
3,January,Sabaragamuwa,Sugar,Sweeteners,Low,High,Medium,No,None,No,Yes,Low,Low,365.89,541
37,September,Northern,Coca-Cola,Beverages,Medium,Low,Low,No,None,No,No,Low,Low,440.54,692
48,November,Sabaragamuwa,Red Rice,Staples,Low,Medium,Low,Yes,Poya,Yes,Yes,Low,Low,393.35,1422
48,November,Central,Wheat Flour,Cooking Essentials,Low,High,Low,Yes,Poya,Yes,Yes,Medium,Medium,400.74,492
46,November,North Western,MD Crackers,Snacks,Low,Medium,Low,Yes,None,No,Yes,Medium,Medium,854.41,1669
32,August,North Western,Prima Noodles,Instant Foods,High,Low,Medium,Yes,Poya,Yes,Yes,Medium,Medium,732.96,2270
12,March,Eastern,Munchee Biscuits,Snacks,High,High,High,Yes,Poya,Yes,No,Low,Low,670.76,1753
6,February,North Western,MD Crackers,Snacks,Low,Medium,Low,Yes,None,No,Yes,Medium,Medium,860.28,1849
3,January,Central,Dhal,Staples,Low,High,High,No,None,No,Yes,Medium,Medium,601.38,2960
19,May,Uva,Canned Fish,Canned Goods,Medium,Medium,Medium,No,Vesak,Yes,Yes,Low,Low,289.11,460
18,April,Eastern,Wheat Flour,Cooking Essentials,High,Medium,High,Yes,Vesak,Yes,Yes,Low,Low,366.14,557
44,October,North Western,Ritzbury Chocolate,Snacks,Low,Low,Low,Yes,Deepavali,Yes,Yes,Medium,Medium,920.84,1899
13,March,Northern,Prima Noodles,Instant Foods,High,Low,Low,No,None,No,No,Low,Low,304.58,640
3,January,Western,Lion Beer,Alcohol,Low,High,High,No,None,No,Yes,High,High,584.73,427
52,December,Uva,Kotmale Yoghurt,Dairy,Low,High,Low,Yes,Christmas,Yes,No,Low,Low,254.17,210
15,April,North Central,Candles,Household,High,Low,Low,No,Sinhala_Tamil_New_Year,Yes,No,Low,Low,191.49,183
10,March,Sabaragamuwa,Munchee Biscuits,Snacks,Medium,High,Low,Yes,Eid,Yes,Yes,Low,Low,469.65,1269
26,June,Sabaragamuwa,Coconut Oil,Cooking Essentials,High,Low,Medium,Yes,None,No,Yes,Low,Low,339.03,497
6,February,Eastern,Jaggery,Sweeteners,Medium,Medium,High,Yes,None,No,Yes,Low,Low,261.58,503
24,June,North Central,Coconut Oil,Cooking Essentials,High,Low,Low,Yes,Poya,Yes,Yes,Low,Low,539.59,671
51,December,Central,Pepsi,Beverages,Low,High,Medium,No,Christmas,Yes,No,Medium,Medium,608.16,923
